Feature,Precision_Clase_0,Recall_Clase_0,F1_Clase_0,Precision_Clase_1,Recall_Clase_1,F1_Clase_1,Accuracy,AUC_ROC
-5.5cd8-2.0cd4+2.0cd11b_gr1,0.942409524,0.8405,0.876865657,0.814,0.905666667,0.838790476,0.86552381,0.873083333
+5.5cd8+2.0cd4-2.0cd11b_gr1,0.942409524,0.8405,0.876865657,0.814,0.905666667,0.838790476,0.86552381,0.873083333
-6.0cd8-3.0cd4+3.0cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
-5.0cd8-2.5cd4+2.5cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
-4.0cd8-2.0cd4+2.0cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
-3.0cd8-1.5cd4+1.5cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
-2.0cd8-1.0cd4+1.0cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
-1.0cd8-0.5cd4+0.5cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
+1.0cd8+0.5cd4-0.5cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
+2.0cd8+1.0cd4-1.0cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
+3.0cd8+1.5cd4-1.5cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
+4.0cd8+2.0cd4-2.0cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
+5.0cd8+2.5cd4-2.5cd11b_gr1,0.938409524,0.8385,0.873492641,0.803,0.899333333,0.83007619,0.861619048,0.868916667
-5.0cd8-2.0cd4+2.0cd11b_gr1,0.9296,0.8405,0.86927619,0.7875,0.872666667,0.807266667,0.853142857,0.856583333
-2.5cd8-1.0cd4+1.0cd11b_gr1,0.9296,0.8405,0.86927619,0.7875,0.872666667,0.807266667,0.853142857,0.856583333
+2.5cd8+1.0cd4-1.0cd11b_gr1,0.9296,0.8405,0.86927619,0.7875,0.872666667,0.807266667,0.853142857,0.856583333
+5.0cd8+2.0cd4-2.0cd11b_gr1,0.9296,0.8405,0.86927619,0.7875,0.872666667,0.807266667,0.853142857,0.856583333
-4.0cd8-1.5cd4+1.5cd11b_gr1,0.929209524,0.841,0.869273593,0.785166667,0.871333333,0.805866667,0.852857143,0.856166667
+4.0cd8+1.5cd4-1.5cd11b_gr1,0.929209524,0.841,0.869273593,0.785166667,0.871333333,0.805866667,0.852857143,0.856166667
-6.0cd8-2.5cd4+2.5cd11b_gr1,0.929209524,0.84,0.868583117,0.783166667,0.871333333,0.805,0.852190476,0.855666667
-3.5cd8-1.5cd4+1.5cd11b_gr1,0.929209524,0.84,0.868583117,0.783166667,0.871333333,0.805,0.852190476,0.855666667
+3.5cd8+1.5cd4-1.5cd11b_gr1,0.929209524,0.84,0.868583117,0.783166667,0.871333333,0.805,0.852190476,0.855666667
-4.5cd8-2.0cd4+2.0cd11b_gr1,0.929209524,0.8395,0.868049784,0.782966667,0.871333333,0.804809524,0.851857143,0.855416667
+4.5cd8+2.0cd4-2.0cd11b_gr1,0.929209524,0.8395,0.868049784,0.782966667,0.871333333,0.804809524,0.851857143,0.855416667
-5.5cd8-2.5cd4+2.5cd11b_gr1,0.927209524,0.839,0.867249784,0.782833333,0.871333333,0.804666667,0.85152381,0.855166667
+5.5cd8+2.5cd4-2.5cd11b_gr1,0.927209524,0.839,0.867249784,0.782833333,0.871333333,0.804666667,0.85152381,0.855166667
-3.5cd8-1.0cd4+1.5cd11b_gr1,0.911352381,0.789666667,0.828802742,0.713433333,0.842,0.753357143,0.810095238,0.815833333
+3.5cd8+1.0cd4-1.5cd11b_gr1,0.911352381,0.789666667,0.828802742,0.713433333,0.842,0.753357143,0.810095238,0.815833333
-6.0cd8-2.0cd4+2.0cd11b_gr1,0.898742857,0.800166667,0.829933911,0.7552,0.828,0.764295238,0.811952381,0.814083333
-4.5cd8-1.5cd4+1.5cd11b_gr1,0.898742857,0.800166667,0.829933911,0.7552,0.828,0.764295238,0.811952381,0.814083333
